APO1/ALC3 K1K2,,APO1/ALC2 Y2Y3,,APO1/ALC2 J2J3,,APO1/ALC2 H2H3,
X,Y,X,Y,X,Y,X,Y
0.22053940350086398,0.000514713080327326,0.18649237472766889,0.0002062971199381378,0.1725640447749981,0.00044486532971797907,0.24684847118924202,0.0002313585275235544
0.23292014123657123,0.00044014939934074665,0.20351588911426644,0.0001762735008959967,0.18339719029374202,0.00037386240229199906,0.27160994666065663,0.00019900240038937356
0.24684847118924202,0.0003796952994193025,0.22053940350086398,0.0001505180460772117,0.19577792802944938,0.0003186288424817291,0.30565697543385173,0.00017759435510751443
0.26232439335887614,0.0003274342961086414,0.23911051010442497,0.0001302384240783867,0.2112538501990835,0.00027523574733018713,0.33970400420704683,0.00015541611872367357
0.28244309217940045,0.00028132306190438097,0.2561340244910225,0.00011335042655728985,0.22982495680264448,0.00023922370886359892,0.3737510329802419,0.0001361740821520685
0.3087521598677785,0.00024129007437831773,0.2762527233115468,0.00009647433784148966,0.24839606340620535,0.00020262726645949226,0.407798061753437,0.00012204655815004864
0.3381564119900834,0.00021026919362992526,0.30565697543385173,0.00008356557892775905,0.26851476222672976,0.00017331541649917765,0.4418450905266321,0.00011333655540523964
0.3691082563293516,0.00018218426115456315,0.3381564119900834,0.00007362819133892046,0.2901810532642176,0.00015075946203235184,0.47589211929982733,0.00010531257458822696
0.4016076928855834,0.00015723356953547057,0.37065584854631506,0.00006474562747782268,0.31184734430170535,0.00012913688163381895,0.5106534214039284,0.00009831550471349655
0.4356547216587785,0.00013592433352896952,0.40470287731951016,0.0000603461274898046,0.3381564119900834,0.0001106367810810681,0.5439861768462175,0.00009126308831157013
0.4697017504319736,0.00012249546912953434,0.43874990609270526,0.000060014704561751774,0.37065584854631506,0.00009857786978038206,0.5780332056194126,0.00008589860153089988
0.5037487792051687,0.00011093506025917121,0.46660656599804673,0.00006651251396741663,0.40470287731951016,0.00008743650504823982,0.6120802343926077,0.0000816448877386426
0.5377958079783638,0.00010052714996700501,0.48672526481857115,0.00007932216174684901,0.43874990609270526,0.0000777444048950491,0.6464367816091956,0.00007912663382060834
0.5718428367515589,0.00009221740133870484,0.5012821475972253,0.00009291598610743072,0.47279693486590046,0.00007321934239154596,0.6801742919389979,0.00007619025977256372
0.605889865524754,0.00008584605558933929,0.5176771091578394,0.00011766494167362836,0.5068439636390956,0.00007079615563138562,0.714221320712193,0.00007366875080097577
0.6399368942979491,0.0000799149092607842,0.5300578468935466,0.00013852731134130375,0.5408909924122907,0.0000755865856756708,0.7447862669972203,0.00007296217504775873
0.6739839230711442,0.00007494182312119726,0.5439861768462175,0.00016347331019994104,0.568747652317632,0.00008689551157537564,0.7828312423309043,0.00007318132971645798
0.7080309518443393,0.00007049355914479954,0.568747652317632,0.00018984348894433256,0.5857711667042296,0.00010095866687089773,0.8180290448038927,0.00007869774264080297
0.7420779806175344,0.0000690421013184458,0.6027946810908271,0.0001912426199142065,0.5996994966569003,0.00011849948832717349,0.8504094358049734,0.0000852701673789066
0.7761250093907295,0.00006762052891492007,0.6351221629562851,0.00017092482100955134,0.6151754188265344,0.00013983887672601087,0.8844564645781685,0.00008605643241299059
0.8101720381639246,0.00006558298135389155,0.6677935542032905,0.00014817253210861118,0.6321989332131319,0.0001642822183521788,0.9185034933513636,0.00008109718257073475
0.8442190669371197,0.00006470602124562437,0.7002929907595221,0.00012898795869425056,0.6585080009015101,0.0001910087173883523,0.9525505221245587,0.00007321934239154596
0.8782660957103148,0.00006423263200685153,0.7312448350987906,0.00011191003260687897,0.6925550296747052,0.0002009603069869213,0.9869070693411466,0.00006540264145347377
0.9123131244835099,0.00006391896481309084,0.7621966794380588,0.00009637698189590492,0.7266020584479003,0.0001871903684424438,1.020644579670949,0.000058671202665460675
0.946360153256705,0.00006466643924137277,0.7916009315603636,0.00008380454727846663,0.7606490872210954,0.00016859339802055025,1.054691608444144,0.000053427582352605234
